nombre,edad,altura_cm,peso_kg,alcance_cm,splm,sapm,str_acc,str_def,td_avg,td_acc,td_def,sub_avg,wins,losses,imagen_url
Tom Aaron,47.76986301369863,0.0,70.30676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3,
Danny Abbadi,42.794520547945204,180.34,70.30676,0.0,3.29,4.41,0.38,0.57,0.0,0.0,0.77,0.0,4,6,
Nariman Abbasov,32.202739726027396,172.72,70.30676,167.64000000000001,3.0,5.67,0.2,0.46,0.0,0.0,0.66,0.0,28,4,
Darion Abbey,33.136986301369866,187.96,120.20188,203.2,8.44,14.06,0.5,0.28,0.0,0.0,0.0,0.0,9,5,
David Abbott,60.99178082191781,182.88,120.20188,0.0,1.35,3.55,0.3,0.38,1.07,0.33,0.66,0.0,10,15,
Hamdy Abdelwahab,33.23013698630137,187.96,120.20188,182.88,4.27,3.67,0.55,0.51,3.25,0.65,1.0,0.0,7,1,
Mansur Abdul-Malik,28.52054794520548,187.96,83.91452,203.2,4.18,3.46,0.48,0.51,0.94,0.5,0.83,0.5,9,0,
Shamil Abdurakhimov,44.62739726027397,190.5,106.59412,193.04,2.41,3.02,0.44,0.55,1.01,0.23,0.45,0.1,20,8,imagenes/Shamil Abdurakhimov.png
Hiroyuki Abe,56.1972602739726,167.64000000000001,65.77083999999999,0.0,1.71,3.11,0.36,0.63,0.0,0.0,0.33,0.0,8,15,
Daichi Abe,34.38630136986301,180.34,77.11064,180.34,3.8,4.49,0.33,0.56,0.33,0.5,0.0,0.0,6,2,
Papy Abedi,47.8054794520548,180.34,83.91452,0.0,2.8,3.15,0.55,0.48,3.47,0.57,0.5,1.3,10,4,imagenes/Papy Abedi.png
Ricardo Abreu,41.97534246575343,180.34,83.91452,0.0,3.79,3.98,0.31,0.68,2.13,0.42,1.0,0.7,5,1,
Klidson Abreu,33.30958904109589,182.88,92.98636,187.96,2.05,2.9,0.4,0.55,0.64,0.2,0.8,0.0,15,4,imagenes/Klidson Abreu.png
Cyborg Abreu,45.32876712328767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,
Daniel Acacio,48.31232876712329,172.72,81.64656,0.0,3.52,2.85,0.36,0.62,0.33,0.2,0.81,0.0,30,18,
John Adajar,34.81917808219178,175.26,77.11064,190.5,3.9,6.28,0.52,0.44,0.0,0.0,0.0,0.0,6,2,
Scott Adams,0.0,182.88,102.0582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1,
Juan Adams,34.24931506849315,195.57999999999998,120.20188,203.2,7.09,4.06,0.55,0.34,0.91,0.66,0.57,0.0,5,3,
Anthony Adams,38.26027397260274,185.42,83.91452,193.04,3.17,5.93,0.41,0.44,0.0,0.0,0.0,0.0,8,2,
Zarrukh Adashev,33.71506849315068,165.1,56.699,165.1,3.65,3.04,0.4,0.64,0.0,0.0,1.0,0.5,4,4,
Israel Adesanya,36.73698630136986,193.04,83.91452,203.2,4.02,3.2,0.48,0.55,0.05,0.11,0.76,0.1,24,5,imagenes/Israel Adesanya.png
Sam Adkins,60.99178082191781,190.5,102.0582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,20,
Mohamed Ado,25.947945205479453,180.34,77.11064,193.04,1.66,0.33,0.83,0.75,4.97,0.5,0.5,5.0,5,1,
